Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
276.49946522018485,1746619628.9053347,183.37598257617188,532.4499239263095,78.51013643054955,882.4648475906724,0.5398610234260559,106.47154521763422,1299,39.011439157136955,57.503677548365594,831.410069056851,21319.304298575,0.13746440410614014,0.14119653403759003,525.3606685150523
,1746619636.6257634,,,,,,,1300,,,,21327.024454803,,,
,1746619640.4173446,,,,,,,1301,,,,21330.815974644,,,
,1746619644.3090842,,,,,,,1302,,,,21334.707770812,,,
,1746619647.902067,,,,,,,1303,,,,21338.300726586,,,
,1746619686.362741,,,,,0.5589893460273743,,1304,,,,21376.76162048,0.13339868187904358,0.08965490013360977,
,1746619694.228915,,,,,,,1305,,,,21384.627469624,,,
,1746619698.4235053,,,,,,,1306,,,,21388.822073876,,,
,1746619702.347877,,,,,,,1307,,,,21392.746390021,,,
,1746619706.194383,,,,,,,1308,,,,21396.593014988,,,
274.8237800456972,1746619797.2871766,230.3537018911109,550.3448261124743,76.49270909583156,957.5656983405727,0.5023451447486877,128.8837678854736,1309,35.74464538409043,69.75917934316716,867.724192440079,21487.686096611,0.13850538432598114,0.09372880309820175,523.9880666243021
,1746619804.9793665,,,,,,,1310,,,,21495.3779942,,,
,1746619808.713649,,,,,,,1311,,,,21499.11230294,,,
,1746619812.67571,,,,,,,1312,,,,21503.074349542,,,
,1746619816.8404965,,,,,,,1313,,,,21507.239100647,,,
,1746619854.2411237,,,,,0.5223914384841919,,1314,,,,21544.64003856,0.061572957783937454,0.030184244737029076,
,1746619862.1089835,,,,,,,1315,,,,21552.50770279,,,
,1746619866.2881236,,,,,,,1316,,,,21556.686735856,,,
,1746619869.97045,,,,,,,1317,,,,21560.369040264,,,
,1746619873.9492106,,,,,,,1318,,,,21564.347761521,,,
275.6162307690067,1746619964.1024125,378.758201498055,598.22964573065,78.26194493757382,1220.4923533024862,0.45457378029823303,193.99661701222715,1319,36.20277549957909,90.4076650671687,992.306985639724,21654.501597605,0.005159836262464523,-0.00949634239077568,524.2373496816707
,1746619971.7091107,,,,,,,1320,,,,21662.107742631,,,
,1746619975.5866206,,,,,,,1321,,,,21665.985185567,,,
,1746619979.644668,,,,,,,1322,,,,21670.043293674,,,
,1746619983.8836737,,,,,,,1323,,,,21674.28234586,,,
,1746620021.4049118,,,,,0.5786435008049011,,1324,,,,21711.803557933,0.24120135605335236,0.21177072823047638,
,1746620028.721637,,,,,,,1325,,,,21719.120313836,,,
,1746620032.0152848,,,,,,,1326,,,,21722.413946374,,,
,1746620036.302755,,,,,,,1327,,,,21726.70138864,,,
,1746620040.556225,,,,,,,1328,,,,21730.954770396,,,
271.06459789550127,1746620132.1288414,329.4072915025029,577.412397501047,75.79596287469549,1093.2315240354096,0.5306546092033386,172.7610365851517,1329,41.36887945610166,82.8269227434419,932.134714197475,21822.527880414,0.1769113391637802,0.13256090879440308,524.1605650094801
,1746620139.5917945,,,,,,,1330,,,,21829.990444593,,,
,1746620143.3856099,,,,,,,1331,,,,21833.784361006,,,
,1746620147.324984,,,,,,,1332,,,,21837.723545622,,,
,1746620151.0195491,,,,,,,1333,,,,21841.418165004,,,
,1746620189.8685765,,,,,0.6438979506492615,,1334,,,,21880.26742826,0.1403290182352066,0.12243670225143433,
,1746620197.415677,,,,,,,1335,,,,21887.814286815,,,
,1746620201.0390377,,,,,,,1336,,,,21891.437699355,,,
,1746620204.9854703,,,,,,,1337,,,,21895.383955014,,,
,1746620208.4082723,,,,,,,1338,,,,21898.806791922,,,
275.1507935839043,1746620299.8105588,426.9224510249953,607.6312596433207,78.05257124570224,1261.2679856538557,0.48567745089530945,218.26933604865178,1339,41.48165212841224,98.77782557027912,1012.1752809061995,21990.209544222,0.12204781919717789,0.0760372057557106,523.9635601763698
,1746620308.0439377,,,,,,,1340,,,,21998.442544826,,,
,1746620312.0962813,,,,,,,1341,,,,22002.494897705,,,
,1746620316.2477982,,,,,,,1342,,,,22006.646425208,,,
,1746620320.5425572,,,,,,,1343,,,,22010.941189613,,,
